order_id,customer_id,order_date
201,21,2025-07-06
202,28,2025-09-19
203,42,2025-07-01
204,34,2025-08-15
205,6,2025-08-25
206,21,2025-08-25
207,19,2025-07-28
208,41,2025-07-22
209,38,2025-08-21
210,2,2025-09-19
211,8,2025-08-31
212,13,2025-09-12
213,7,2025-07-16
214,47,2025-08-25
215,6,2025-09-17
216,14,2025-09-16
217,25,2025-09-18
218,48,2025-07-26
219,44,2025-07-05
220,45,2025-09-12
221,50,2025-09-11
222,9,2025-08-29
223,8,2025-08-23
224,2,2025-09-23
225,7,2025-08-27
226,10,2025-08-05
227,13,2025-08-11
228,49,2025-09-24
229,18,2025-09-08
230,50,2025-07-08
231,3,2025-07-04
232,9,2025-07-03
233,36,2025-08-14
234,47,2025-09-02
235,48,2025-07-01
236,17,2025-07-13
237,48,2025-07-17
238,14,2025-07-16
239,47,2025-07-05
240,23,2025-08-16
241,45,2025-08-25
242,27,2025-08-26
243,50,2025-09-12
244,1,2025-07-28
245,20,2025-08-18
246,28,2025-09-08
247,27,2025-08-12
248,41,2025-08-05
249,6,2025-09-08
250,10,2025-09-16
251,38,2025-09-07
252,27,2025-09-24
253,22,2025-07-26
254,30,2025-07-09
255,30,2025-09-21
256,32,2025-07-18
257,3,2025-07-21
258,22,2025-08-05
259,16,2025-08-22
260,3,2025-08-31
261,43,2025-07-07
262,28,2025-07-20
263,37,2025-07-19
264,20,2025-08-07
265,5,2025-09-17
266,39,2025-09-16
267,1,2025-08-13
268,32,2025-08-12
269,40,2025-07-20
270,20,2025-09-02
271,47,2025-07-30
272,20,2025-08-30
273,40,2025-08-01
274,15,2025-08-14
275,7,2025-09-13
276,35,2025-08-28
277,37,2025-09-09
278,27,2025-08-15
279,24,2025-07-29
280,40,2025-09-09
281,9,2025-08-12
282,15,2025-08-17
283,6,2025-08-12
284,11,2025-06-30
285,3,2025-08-11
286,36,2025-08-05
287,22,2025-09-23
288,44,2025-07-11
289,44,2025-08-25
290,45,2025-08-06
291,7,2025-07-15
292,27,2025-07-10
293,33,2025-09-18
294,47,2025-07-30
295,27,2025-08-17
296,4,2025-08-02
297,12,2025-08-12
298,39,2025-07-25
299,28,2025-09-06
300,44,2025-07-19
